GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
term_project,edu.brown.cs.student.main,Main,139,0,6,0,37,0,11,0,8,0
term_project,edu.brown.cs.student.main,Main.MatchesHandler,241,0,16,0,46,0,13,0,5,0
term_project,edu.brown.cs.student.main,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
term_project,edu.brown.cs.student.main.survey,Answer,3,6,0,0,1,3,1,1,1,1
term_project,edu.brown.cs.student.main.survey,Question,3,22,0,0,1,8,1,4,1,4
term_project,edu.brown.cs.student.main.stable_roommates,StableRoommates,18,544,11,61,4,114,11,35,0,10
term_project,edu.brown.cs.student.main.stable_roommates,RandomPairs,86,0,10,0,20,0,8,0,3,0
term_project,edu.brown.cs.student.main.stable_roommates,PairGenerator,4,56,3,9,2,12,3,5,0,2
term_project,edu.brown.cs.student.main.stable_roommates,Person,6,96,0,10,2,30,2,14,2,9
term_project,edu.brown.cs.student.main.stable_roommates,GreedyPairs,0,116,0,8,0,24,0,6,0,2
term_project,edu.brown.cs.student.main.pair,Pair,24,40,3,5,4,11,5,5,2,4
term_project,edu.brown.cs.student.main.match_evaluator,MatchEvaluator,0,152,0,12,0,29,0,10,0,4
